Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
17308_W11_A_Taes_R1_1of1_Solo_1x1_d_c,17308,Nikon,1x,1,W11,A,R1,Base,1of1,Solo,Taes_Syria,d,c
17309_W11_A_Taes_R1_1of1_Solo_1x1_l_c,17309,Nikon,1x,1,W11,A,R1,Base,1of1,Solo,Taes_Syria,l,c
17310_W11_A_Taes_R2_1ofq_External_1x1_d_c,17310,Nikon,1x,1,W11,A,R2,Base,1ofq,External,Taes_Syria,d,c
17311_W11_A_Taes_R2_1ofq_External_1x1_l_c,17311,Nikon,1x,1,W11,A,R2,Base,1ofq,External,Taes_Syria,l,c
17312_W11_A_Taes_R3_1ofq_External_1x1_d_c,17312,Nikon,1x,1,W11,A,R3,Base,1ofq,External,Taes_Syria,d,c
17313_W11_A_Taes_R3_1ofq_External_1x1_l_c,17313,Nikon,1x,1,W11,A,R3,Base,1ofq,External,Taes_Syria,l,c
17314_W11_A_Taes_R8_1of3_External_1x1_d_c,17314,Nikon,1x,1,W11,A,R8,Mid,1of3,External,Taes_Syria,d,c
17315_W11_A_Taes_R8_1of3_External_1x1_l_c,17315,Nikon,1x,1,W11,A,R8,Mid,1of3,External,Taes_Syria,l,c
17316_W11_A_Taes_R8_2of3_Internal_1x1_d_c,17316,Nikon,1x,1,W11,A,R8,Mid,2of3,Internal,Taes_Syria,d,c
17317_W11_A_Taes_R8_2of3_Internal_1x1_l_c,17317,Nikon,1x,1,W11,A,R8,Mid,2of3,Internal,Taes_Syria,l,c
17318_W11_A_Taes_R8_3of3_External_1x1_d_c,17318,Nikon,1x,1,W11,A,R8,Mid,3of3,External,Taes_Syria,d,c
17319_W11_A_Taes_R8_3of3_External_1x1_l_c,17319,Nikon,1x,1,W11,A,R8,Mid,3of3,External,Taes_Syria,l,c
17320_W11_A_Taes_R13_1of2_External_1x1_d_c,17320,Nikon,1x,1,W11,A,R13,Top,1of2,External,Taes_Syria,d,c
17321_W11_A_Taes_R13_1of2_External_1x1_l_c,17321,Nikon,1x,1,W11,A,R13,Top,1of2,External,Taes_Syria,l,c
