A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
0.071606053,0.000149081,0.010009443,0.006689863,0.005557583,-0.000963213,-0.001881097,-0.005059622,-0.773312393,-0.015236263,-0.051027642,-0.004657786,-0.014133956,0.007568232,-0.001008543,-0.002334601,1.130160491,-0.00935215,0.05881699,-0.011043125,0.004236858,-0.005063324,-0.002737551,-0.001631455,0.068857583,-0.000985286,0.005885904,-0.004323903,-0.00145164,-0.005807796,-0.002652258,-0.001545956
0.059201937,-0.022245939,0.013477546,0.007356539,-0.000651229,-0.000133716,-0.000576787,-1.26E-05,-0.763550026,-0.00975512,-0.063605162,-0.001994362,-0.010369856,0.00136287,-0.000244935,0.000368301,1.153744532,-0.005061054,0.059569063,-0.007293129,0.004302862,-0.005089607,-0.001777993,-0.00284851,0.062958759,0.008818317,0.005956139,0.005059434,-0.000446387,0.000557807,-0.000803549,4.50E-05
0.034935647,0.012687153,0.004603289,0.000584895,-0.003044875,-0.001657113,0.006171479,-0.003179764,-0.713584173,-0.014585313,-0.061166998,-0.003353246,-0.010702244,0.000975135,-0.002161693,0.00336118,1.121543808,-0.008366909,0.06284175,-0.009434147,0.006314083,-0.007052818,-0.001649789,-0.003535297,0.044914485,-0.005359306,0.008115974,-0.006076559,0.00419773,-0.00443787,0.001002081,-0.001688417
0.016627615,-0.014168028,-0.004765462,-0.000356157,0.003347023,0.003345027,-0.001992758,-0.000426786,-0.758152148,0.02604362,-0.053312339,-0.008012104,-0.010399465,-0.000779039,0.000406139,0.001033727,1.123875762,0.012904152,0.06046711,0.009112689,0.006922333,0.003199801,0.000747266,0.002705824,-0.003217958,0.005094103,-0.0018994,0.006517492,-0.001370034,0.002671543,-0.000994493,0.001313592
0.096887739,-0.006057609,0.026504565,-0.001150235,0.011565551,-7.68E-05,0.002314186,-0.000480916,-0.710579257,0.003429792,-0.054043965,-0.011510743,-0.012958596,-0.000413815,-0.004430347,-0.000588719,1.140134526,-0.001636222,0.063915238,-0.006020706,0.00717297,-0.007047776,-0.000728802,-0.005127315,0.148738227,0.002312508,0.024944332,0.003194631,0.003005345,0.00069775,-0.002963908,-0.000790233
0.067730728,-0.000640943,0.010847129,9.60E-05,0.0019782,-0.000548246,-0.001742537,-0.000911596,-0.781084535,-0.022957769,-0.065618843,-0.001171358,-0.002930238,0.007198096,-0.001150387,-0.000641496,1.106650515,-0.024561793,0.037224491,-0.022516259,-0.00865001,-0.013323942,-0.009000593,-0.007040563,0.048671836,-0.000870618,-0.00062293,-0.002811696,-0.006923702,-0.003000649,-0.005340594,-0.001776315
0.031579237,-0.015236319,0.003714213,0.0078593,0.001773482,0.002441966,-0.001045239,-0.000141661,-0.786284109,-0.007153086,-0.053626752,-0.013343293,-0.004652666,0.003769469,3.19E-05,0.000835569,1.108685833,-0.006493693,0.04737614,-0.012985958,0.001347365,-0.011204469,-0.00175504,-0.006307369,0.035026481,0.006267743,0.002554591,0.002216323,-0.001366944,-0.003311265,-0.001482048,-0.003914098
0.079852245,-0.013940449,0.023438542,0.00148443,0.00245703,0.002940526,-0.000367383,-0.000480651,-0.766967034,-0.007774619,-0.059472234,-0.003767419,-0.007022324,0.001710312,-0.001173865,7.42E-05,1.136466956,-0.00474371,0.054064943,-0.007576474,0.003761742,-0.005937681,-0.000648655,-0.003309618,0.097994221,0.005901284,0.008450806,0.004012149,-0.003876859,-0.000421809,-0.004174995,-0.001682098
0.06012641,0.006643172,0.011029547,0.000818676,0.004936713,-0.00026582,0.001727625,-0.001035147,-0.747499601,0.001468777,-0.05569948,-0.004663733,-0.013587201,-0.000318731,-0.004241092,0.000831164,1.118647142,-0.001221452,0.054918957,-0.002694977,0.000450442,-0.002948305,-0.0073414,-0.001584644,0.099041161,-0.003390472,0.01778038,-0.003614512,0.00378421,-0.002974238,-0.001204007,-0.00207237
0.08914574,-0.011663705,0.023941343,0.007050104,0.003188813,-0.001650428,-0.00077473,-0.004598913,-0.749538616,-0.009107682,-0.056952936,-0.007578781,-0.00874791,0.002996449,-0.001803477,0.003798262,1.105637986,-0.007448231,0.050684285,-0.011832769,0.001327346,-0.008161958,-0.00372157,-0.002964936,0.124525494,0.003662699,0.015582015,0.000323908,-0.000402459,-0.003071513,-0.001624752,-0.000724875
0.057814598,0.026453024,-0.002596512,-0.007669019,0.005551535,0.003486164,-0.00306733,-7.50E-05,-0.836564157,0.002640421,-0.048873792,-0.008709175,-0.004191354,0.000126351,-0.001188198,0.002860631,1.106807189,-0.000250289,0.0336941,-0.004369451,-0.007329849,-0.006697914,-0.008001697,-0.003620289,0.061454392,-0.013337873,0.008195525,-0.007908551,-0.000856763,-0.003800954,-0.00377816,-0.003653798
0.02274893,0.000933301,0.005710654,0.006331011,0.003761473,-0.001124797,-0.001275115,-0.001938756,-0.740071087,0.044547411,-0.073359273,-0.00323111,-0.004624727,-0.009481559,0.002934639,-0.004056822,1.132290965,0.02451251,0.053451568,0.019235341,0.000777903,0.00727868,-0.000535314,-7.75E-05,0.037116344,-0.000794185,0.007027843,-0.001654522,0.000537131,-0.001305985,-0.000271875,0.000513411
