A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
-0.067912154,-0.091476918,0.023005243,0.020328566,-0.000992354,0.012454766,-0.006695583,0.004866431,-0.726899298,-0.014719855,-0.048789911,-0.023301148,-0.000549089,0.00234039,-0.005637877,0.003861897,1.1285588,0.008516325,0.062408132,-0.002532007,0.017518243,-0.009574453,0.005366273,-0.002019754,-0.032374196,0.044279365,-0.023896704,0.0361404,-0.018781033,0.011696256,-0.006908538,0.000212326
-0.033120694,-0.068257441,0.028035801,0.021381095,-0.005707794,0.004359433,-0.003563219,-0.000130468,-0.683320672,-0.02315434,-0.05257356,-0.00698632,0.000438953,0.000885299,-0.001739271,-5.53E-05,1.12705532,-0.003218859,0.07420629,-0.00474952,0.020371131,-0.005482945,0.010491595,-0.001479667,-0.011237458,0.022788499,-0.01647717,0.018457936,-0.013011849,0.004980536,-0.006336751,0.002661616
-0.001134757,-0.042771263,0.024302554,0.020454787,-0.003328908,0.013731392,-0.000260499,-0.002618157,-0.73514244,-2.15E-05,-0.048041567,-0.016660238,-0.008073131,0.006906,-0.00754194,0.002584435,1.14707995,0.009003563,0.070648104,-0.01090308,0.021430789,-0.010541173,0.004739828,8.53E-05,0.068333938,0.032329084,-0.000697815,0.019611843,-0.002007176,-0.003744743,0.00329806,-0.006195999
-0.046724571,-0.082984875,0.025621503,0.024949348,-0.003740588,0.010452331,-0.00683453,0.006976456,-0.718936021,0.000611271,-0.04958375,-0.016145013,0.010937845,-0.011140023,-0.00317724,-5.16E-05,1.143849331,0.021461587,0.064108116,0.009918734,0.020418021,-0.004792027,0.012368104,-0.004123962,-0.017985861,0.040088956,-0.02070928,0.036609242,-0.020759449,0.014241927,-0.009914974,0.002172927
-0.066580482,-0.070511278,0.019410082,0.012934854,0.005521835,0.007571809,-0.003471905,0.001512249,-0.692183326,0.008528829,-0.038475647,-0.027170749,-0.004266364,-0.000391705,-0.009602232,0.002569687,1.123486967,0.013424879,0.073998903,0.001846257,0.023139121,-0.006399001,0.006294602,-0.001072577,-0.026182822,0.0375807,-0.014218595,0.028096414,-0.014835249,0.009853223,-0.007609923,0.003430104
-0.071260788,-0.065808253,0.013493221,0.014787118,-0.007112808,0.006460698,-0.010068058,0.00283042,-0.729981503,0.009382916,-0.050674055,-0.024955878,0.001119528,-0.006123755,-0.000959404,0.001050738,1.105177615,0.025733696,0.05404405,0.007807048,0.011672891,-0.006810627,0.003455735,-0.001652918,-0.085565631,0.04029777,-0.036319463,0.031891782,-0.022084395,0.01140204,-0.003308606,0.001191824
0.030677263,-0.038272057,0.005630695,0.029913452,-0.009793863,0.00708924,-0.00037576,-0.001859669,-0.750245836,0.003192031,-0.037062462,-0.034336979,-0.00155905,0.004085383,-0.002583289,0.004297178,1.110298692,0.016712974,0.064283034,-0.011500149,0.020875284,-0.014704802,0.008120503,-0.00447466,0.0216573,0.030200437,-0.011453866,0.012962927,-0.002861623,-0.005552318,0.002636696,-0.003723876
-0.015313163,-0.039134982,0.014314359,0.011179982,-0.006511014,0.007072468,-0.008565352,0.002335691,-0.765228766,-0.010851443,-0.048101048,-0.025519499,0.008506539,-0.002844337,-0.001372225,0.001307955,1.150868929,0.013441942,0.058097646,-0.00493055,0.015233736,-0.011234244,0.008024896,-0.004856866,-0.047069902,0.025230176,-0.029851381,0.021293272,-0.018781444,0.006850747,-0.005974741,0.001336638
-0.069708865,-0.057773907,0.024278145,0.001104412,-0.008118806,0.006639538,-0.005236751,0.003096731,-0.712211353,0.002134242,-0.060878305,-0.018767622,-0.00287662,-0.007347691,-0.004786179,-0.000404344,1.20162394,0.013806356,0.074723106,0.004932603,0.011793629,-0.003029792,0.002274719,-0.001716129,-0.089450645,0.024715911,-0.034564626,0.023285678,-0.021678395,0.011715815,-0.010352705,0.005062816
0.008649657,-0.059066837,0.00978161,0.019672697,0.002312185,0.011218131,-0.006609429,0.001221126,-0.753559754,-0.012608266,-0.049054217,-0.023868794,0.007609597,0.001504888,-0.001174072,0.001998261,1.140772217,0.006609344,0.060018068,-0.008230904,0.018201821,-0.011920955,0.011276045,-0.005186837,0.011424582,0.028983797,-0.013244628,0.023460091,-0.012631931,0.00466985,-0.005722808,-0.001412424
-0.037133957,-0.066134252,0.021764981,0.018376799,-0.00013286,0.015225626,-0.008934342,0.002407453,-0.749376108,0.00369734,-0.066627685,-0.021082822,0.003137579,-9.42E-05,-0.000165478,-0.000971877,1.121847431,0.015575956,0.048675749,0.000646632,0.008485865,-0.009933054,0.007037764,-0.007006443,0.000835965,0.032700413,-0.019026261,0.028054164,-0.019180346,0.007130963,-0.007181293,-0.004502962
-0.035540042,-0.058222546,0.03690668,0.009654022,-0.00434888,0.009314683,-0.008835025,0.005068119,-0.720185648,0.018384511,-0.065136312,-0.011712415,-0.000161465,-0.00755708,0.003647541,0.003706562,1.148428519,0.025635462,0.060615464,0.011954074,0.01247513,-0.002278697,0.009035557,-0.001080668,0.004260061,0.03292099,-0.019065381,0.029817985,-0.020985412,0.013124548,-0.00645807,0.001893534
-0.04799158,-0.04409337,0.019768181,0.008904444,-0.003594327,0.009590664,-0.006903234,0.003958579,-0.756085284,0.000694044,-0.039726052,-0.026857252,0.003545063,-0.005827328,-0.004113023,0.00094107,1.108779196,0.018863893,0.052539652,-0.000764129,0.012493439,-0.011019737,0.0039767,-0.005441786,-0.05831287,0.032187409,-0.031491013,0.026531115,-0.023051972,0.008896211,-0.009057475,-0.000254528
