A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
0.013635772,-0.006638054,0.004214952,-0.003552323,0.003045013,0.005025691,-0.000760141,-0.000580648,-0.666133762,-0.007218473,-0.062642236,-0.008844826,-0.018483376,0.001586001,0.000856495,0.002594635,1.08734945,-0.006776412,0.064385472,-0.009080912,0.004352975,-0.007899016,-0.003692689,-0.004494302,-0.003348611,0.001296115,-0.004783296,0.003080115,-0.004796919,0.001073371,-0.003565559,-0.000175723
0.027178564,0.010002623,0.003537899,0.003820288,0.001423762,-0.002280598,-0.000112021,-0.00041678,-0.744927721,-0.004692796,-0.053499503,-0.005698341,-0.013609091,0.002180909,-0.000654864,0.00282704,1.10880397,-0.004714447,0.057869755,-0.006449137,0.003870499,-0.004814992,-0.003297062,-0.001617578,0.024809117,-0.004256329,0.002519855,-0.006117604,-0.000509579,-0.004551227,-0.001386196,-0.00263477
0.043255568,-0.014359226,0.011402688,0.012506265,0.004068406,-0.003983258,-0.001752648,-0.001031034,-0.672309167,0.00620128,-0.076959375,-0.01471391,-0.011264676,0.000385049,-0.003028464,0.001301203,1.12816592,-0.001230674,0.067599878,-0.006283919,0.005833674,-0.007176727,-0.001915827,-0.005047098,0.031603648,0.002851248,0.001410356,0.000637209,-0.003814541,-0.001462664,-0.003223403,-0.000311677
0.055524762,-0.018638153,0.008125292,0.006995907,0.009903196,-0.000591502,-0.000581851,0.000450021,-0.707185512,0.003840597,-0.06096929,-0.009251869,-0.013440928,0.002768609,-0.002397388,-0.000994025,1.121448404,-0.000323637,0.065209748,-0.004462791,0.006135365,-0.004322329,-0.00187229,-0.003135944,0.081194109,0.005722302,0.015290379,0.003872469,0.002419496,7.42E-05,-0.001386843,-0.000200948
0.05353002,0.010162283,0.002338047,-0.000229054,0.00729724,-0.002605342,0.003104936,-0.00186175,-0.732070363,-0.002156075,-0.058973899,-0.009747042,-0.012473179,-0.00026033,0.000816885,0.0003016,1.104173671,-0.004314344,0.05508378,-0.007498585,0.000795227,-0.00770237,-0.00417995,-0.005526258,0.074493387,-0.005621164,0.015213213,-0.005475337,0.004084237,-0.003712435,-0.001686665,-0.001728034
0.046587997,0.006682917,0.018653074,0.003109363,-0.002079525,-0.000194694,-0.002061963,-0.001820136,-0.796106731,0.004051817,-0.049010896,-0.018880453,-0.011232562,0.00687855,-0.003478158,0.002885123,1.113755591,-0.000929521,0.047124506,-0.009826086,-0.000617401,-0.008166958,-0.007291588,-0.001148959,0.09640294,-0.000882743,0.013478597,-0.003440842,0.002340611,-0.005035855,0.001717167,-0.003383191
0.068396241,-0.009809739,0.014790823,-0.003545258,0.006108045,-0.000177464,0.000275455,-0.000505427,-0.725588967,0.002174866,-0.066246107,-0.005740213,-0.011922758,-0.001859454,-0.000461889,0.004253701,1.131696866,-0.006535878,0.054621155,-0.008943255,-0.002597387,-0.009955923,-0.007602434,-0.00726241,0.101234494,0.00254233,0.016438722,0.004026471,0.000969469,0.002314893,-0.002930684,0.000743569
0.064125706,-0.000597353,0.018311181,0.004971563,0.003978761,-0.001648809,0.000372193,-0.001765353,-0.704307066,-0.01860997,-0.065393277,-0.001097281,-0.014972568,0.002143771,0.000315342,0.001034852,1.128917122,-0.013170709,0.060958655,-0.012621623,0.001723489,-0.007871418,-0.00493807,-0.004599573,0.096440039,-0.00059699,0.01511396,-0.004213684,0.001633769,-0.004843614,-0.001701177,-0.003154256
0.039054925,0.016579127,-0.000217887,-0.001692229,0.00751771,0.000135533,0.001241591,-0.000876147,-0.711875361,0.001884205,-0.06528509,-0.013715673,-0.01486966,0.002576151,-0.002955881,0.001506957,1.136317555,-0.004911503,0.062937185,-0.009100298,0.002314889,-0.008997356,-0.00588488,-0.005126436,0.048767692,-0.008286243,0.010634738,-0.006879198,0.002127467,-0.005377902,-0.002214476,-0.004136942
0.050347295,0.016607715,0.004816319,-0.002451379,0.004016429,-3.38E-06,0.00120517,-0.000696274,-0.724020111,-0.001420464,-0.055652753,-0.004647768,-0.01158594,-0.001852663,-0.003434796,0.002260283,1.117696413,-0.001028128,0.063379906,-0.00215116,0.007495031,-0.00320469,-0.001395488,-0.001562804,0.068982726,-0.007212751,0.013547301,-0.006017594,0.004895609,-0.003494358,0.001313009,-0.002555466
