A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8
-0.031338004,-0.073441676,0.005324411,0.00160901,-0.006872594,0.008838311,-0.00950698,0.003276033,-0.64106135,-0.005966965,-0.030659034,-0.02542922,-0.002800758,-0.009629967,-0.003163991,-0.003070076,1.140122966,0.019824632,0.075846481,0.006942103,0.021609829,-0.002054726,0.007157071,-0.000697609,-0.10183089,0.034048563,-0.03939741,0.031765791,-0.02392086,0.015245662,-0.009566282,0.006673061
-0.048231489,-0.076564357,0.009572101,0.002614423,-0.016469544,0.007549167,-0.001042974,-0.006177459,-0.73076781,-0.017359178,-0.004706126,-0.032965609,0.008989422,-0.006372575,0.000916469,-0.004545111,1.093488103,0.045313798,0.049219336,0.009787816,0.016637503,0.002583565,0.001108093,0.008510518,-0.16495582,0.056428987,-0.066376425,0.043169486,-0.026542944,0.011018815,-0.004394476,0.004190148
-0.066476949,-0.081033843,-0.004130709,0.005713226,7.09E-05,-0.00031211,-0.002973747,0.001978476,-0.646658002,-0.015307626,-0.062051278,-0.014882926,-0.010833945,-0.005667385,0.003645818,-0.000676771,1.126370015,0.003244691,0.062613328,0.003568251,0.002634749,0.00028781,-0.005846834,0.001314107,-0.14582248,0.025332105,-0.039884076,0.022712939,-0.019206929,0.013474048,-0.008013574,0.007518556
-0.014342152,-0.060678723,0.019801856,0.002056735,-0.015435953,0.012125206,-0.010248427,0.005809495,-0.69267994,-0.024107293,-0.028476322,-0.014134188,0.004121936,-0.007577652,-0.001695124,-0.002414482,1.118655003,0.020261738,0.063999161,0.003495687,0.020212195,-0.003719188,0.009689964,-0.001101488,-0.073257942,0.034896098,-0.041560002,0.035452641,-0.025269101,0.015727861,-0.00762882,0.004156518
-0.075796074,-0.067704268,0.011205639,-0.003055583,-0.002482005,0.010767154,-0.008290207,0.00082856,-0.729957695,-0.01877464,-0.038334652,-0.01707355,0.002338245,-0.00555923,0.005035984,-7.77E-05,1.104458279,0.016816664,0.046651842,0.007161807,0.004827643,0.000642634,0.000760843,0.001855979,-0.139639066,0.033602509,-0.044924992,0.034960884,-0.026960322,0.016958376,-0.009874099,0.005132145
-0.062294674,-0.074678517,0.003278984,0.002596827,-0.006137962,0.013705393,-0.00478692,0.000886168,-0.741304349,-0.007767395,-0.028718183,-0.033994056,0.004164285,6.02E-05,0.001257231,-0.000199787,1.092504069,0.029019078,0.047964689,0.005064857,0.013118622,-0.003107812,0.004241577,0.004157827,-0.12554524,0.047081768,-0.047404018,0.042005924,-0.023490339,0.016015512,-0.005401082,0.002364758
-0.00995371,-0.059735685,0.025192249,0.012867827,-0.013895854,0.00933875,-0.005992977,0.006974723,-0.67347837,-0.031787044,-0.058810896,-0.010230821,-0.001603889,-0.002628061,4.14E-05,0.001013563,1.143408049,0.001957296,0.072799571,-0.006699109,0.016248091,-0.008893614,0.008067776,-0.004194139,-0.033922544,0.022693894,-0.025001998,0.021265894,-0.015966445,0.007735507,-0.005443688,0.000893298
-0.033483973,-0.071915028,0.011852174,0.007433246,-0.006930995,0.007720679,-0.009060371,0.004851055,-0.658564503,-0.047704777,-0.041571525,-0.02061899,-0.001286874,-0.009779078,0.002552987,0.001341902,1.126623579,0.004818579,0.064753588,-0.0068997,0.01161779,-0.010856725,0.001877771,-0.005679185,-0.107719084,0.032359354,-0.043395151,0.031126662,-0.024767114,0.015338048,-0.009451077,0.006723938
-0.019200305,-0.054760049,0.0226042,0.005827187,-0.005343353,0.011662629,-0.006292424,0.001421513,-0.686042255,-0.050181242,-0.029295648,-0.025134349,-0.001050653,-0.002657501,-0.004170986,0.002516377,1.120208321,0.009409327,0.068195311,-0.013636187,0.021909714,-0.014892864,0.005970016,-0.004267015,-0.041147062,0.034103887,-0.033536601,0.03115418,-0.02156192,0.009874141,-0.007302942,0.002853095
-0.024445645,-0.082044759,0.007152975,0.010653899,-0.006759899,0.009908552,-0.001380493,0.001074788,-0.66412834,-0.025796049,-0.01839387,-0.035371379,0.000876186,-0.003102063,-0.005244939,-0.003735671,1.127336217,0.030688379,0.071530707,-0.001668904,0.028534535,-0.007139488,0.006920879,0.003238466,-0.077382062,0.054362395,-0.044985,0.043424465,-0.021055667,0.012546093,-0.004549516,0.003853614
