Filename,ID,Microscope,Objective,Mag,Accession,Ear /Bundles,Ear row,Ear Position,Spk position,Position type,taxon.code,View,Charred?
16000_KOUPH_FT_1242__S1_1x1_d,16000,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S1,FT,d,
16001_KOUPH_FT_1242__S1_1x1_l,16001,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S1,FT,l,
16002_KOUPH_FT_1242__S2_1x1_d,16002,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S2,FT,d,
16003_KOUPH_FT_1242__S2_1x1_l,16003,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S2,FT,l,
16004_KOUPH_FT_1242__S3_1x1_d,16004,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S3,FT,d,
16005_KOUPH_FT_1242__S3_1x1_l,16005,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S3,FT,l,
16006_KOUPH_FT_1242__S4_1x1_d,16006,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S4,FT,d,
16007_KOUPH_FT_1242__S4_1x1_l,16007,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S4,FT,l,
16008_KOUPH_FT_1242__S5_1x1_d,16008,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S5,FT,d,
16009_KOUPH_FT_1242__S5_1x1_l,16009,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S5,FT,l,
16010_KOUPH_FT_1242__S6_1x1_d,16010,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S6,FT,d,
16011_KOUPH_FT_1242__S6_1x1_l,16011,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S6,FT,l,
16012_KOUPH_FT_1242__S7_1x1_d,16012,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S7,FT,d,
16013_KOUPH_FT_1242__S7_1x1_l,16013,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S7,FT,l,
16014_KOUPH_FT_1242__S8_1x1_d,16014,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S8,FT,d,
16015_KOUPH_FT_1242__S8_1x1_l,16015,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S8,FT,l,
16016_KOUPH_FT_1242__S9_1x1_d,16016,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S9,FT,d,
16017_KOUPH_FT_1242__S9_1x1_l,16017,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S9,FT,l,
16018_KOUPH_FT_1242__S10_1x1_d,16018,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S10,FT,d,
16019_KOUPH_FT_1242__S10_1x1_l,16019,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S10,FT,l,
16020_KOUPH_FT_1242__S11_1x1_d,16020,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S11,FT,d,
16021_KOUPH_FT_1242__S11_1x1_l,16021,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S11,FT,l,
16022_KOUPH_FT_1242__S12_1x1_d,16022,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S12,FT,d,
16023_KOUPH_FT_1242__S12_1x1_l,16023,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S12,FT,l,
16024_KOUPH_FT_1242__S13_1x1_d,16024,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S13,FT,d,
16025_KOUPH_FT_1242__S13_1x1_l,16025,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S13,FT,l,
16026_KOUPH_FT_1242__S14_1x1_d,16026,Nikon,1x,1,Kouphovouno,KOUPH,1242,,,S14,FT,d,
